"Date" "Plot" "Cultivar" "Irrigation" "Block" "TotalDM" "RadInt_GS_sum" "RadInt_SS_sum" "RadInt_AP_sum"
"1" 2014-11-25 "202" "Omaka" "High" "1" 181.357 290.102324207598 248.981609974988 102.97697475
"2" 2014-11-25 "205" "Omaka" "Low" "1" 122.161 293.919870364095 266.82162325842 107.6585718
"3" 2014-11-25 "210" "Omaka" "Low" "2" 133.82 282.867073012378 254.307332205472 118.9173829
"4" 2014-11-25 "213" "Omaka" "High" "3" 186.688 311.131780997034 274.162391523959 116.0684141
"5" 2014-11-25 "215" "Dash" "High" "3" 185.482 231.254465874042 198.078199907392 102.61487525
"6" 2014-11-25 "217" "Dash" "Low" "3" 100.771 187.135234450083 149.30954255965 82.05690475
"7" 2014-11-25 "220" "Dash" "Low" "4" 84.097 199.253469955086 168.543692993965 82.92424985
"8" 2014-11-25 "222" "Omaka" "High" "4" 170.532 283.641790860399 223.655995293583 96.49601325
"9" 2014-12-09 "202" "Omaka" "High" "1" 491.594 537.636968371668 521.613529468716 245.94802815
"10" 2014-12-09 "205" "Omaka" "Low" "1" 371.408 542.702875129964 537.067696483088 242.64320685
"11" 2014-12-09 "210" "Omaka" "Low" "2" 378.523 534.799210895102 524.907278420417 259.3325861
"12" 2014-12-09 "213" "Omaka" "High" "3" 514.269 571.885058619083 568.141233339666 267.10893005
"13" 2014-12-09 "215" "Dash" "High" "3" 535.632 484.759752686463 469.190719653436 247.70379495
"14" 2014-12-09 "217" "Dash" "Low" "3" 305.095 363.108338569259 341.061278739499 193.32026115
"15" 2014-12-09 "220" "Dash" "Low" "4" 266.453 381.81297271521 360.510872813089 195.7131654
"16" 2014-12-09 "222" "Omaka" "High" "4" 563.741 550.498675935986 521.354991657725 244.3773722
"17" 2014-12-22 "202" "Omaka" "High" "1" 874.132 774.330848568534 792.205278419984 376.95357645
"18" 2014-12-22 "205" "Omaka" "Low" "1" 757.829 782.376333713738 811.248982872951 370.6085591
"19" 2014-12-22 "210" "Omaka" "Low" "2" 672.085 775.841994479899 799.515458000684 390.2339428
"20" 2014-12-22 "213" "Omaka" "High" "3" 1076.369 816.180498730218 853.750718621524 401.4455322
"21" 2014-12-22 "215" "Dash" "High" "3" 944.064 725.524041920278 738.786660917973 380.52151995
"22" 2014-12-22 "217" "Dash" "Low" "3" 658.018 547.908313345584 569.268243118092 307.7811197
"23" 2014-12-22 "220" "Dash" "Low" "4" 598.23 564.807598969418 593.892004337372 311.5561461
"24" 2014-12-22 "222" "Omaka" "High" "4" 1000.818 801.655187333917 811.92183444996 379.32899035
"25" 2015-01-15 "202" "Omaka" "High" "1" 1591.396 1194.57825512485 1321.52826323628 676.6407111
"26" 2015-01-15 "205" "Omaka" "Low" "1" 1202.356 1190.19893592348 1327.0501506794 660.8774615
"27" 2015-01-15 "210" "Omaka" "Low" "2" 1298.223 1152.8273052061 1303.0749149964 683.3769458
"28" 2015-01-15 "213" "Omaka" "High" "3" 1916.026 1255.15125611194 1415.72048461909 704.68886715
"29" 2015-01-15 "215" "Dash" "High" "3" 1964.291 1167.80356662576 1280.75942853479 682.4228461
"30" 2015-01-15 "217" "Dash" "Low" "3" 1081.97 842.602524708061 999.005147046512 574.875764
"31" 2015-01-15 "220" "Dash" "Low" "4" 1218.681 840.828578848136 1009.6272179209 580.49084795
"32" 2015-01-15 "222" "Omaka" "High" "4" 2271.522 1268.17237682247 1377.68438511535 683.28908735
"33" 2015-01-28 "205" "Omaka" "Low" "1" 1641.714 1254.12121079396 1390.90314539502 832.18514115
"34" 2015-01-28 "210" "Omaka" "Low" "2" 1454.604 1201.41051698104 1356.262155504 854.4939652
"35" 2015-01-28 "217" "Dash" "Low" "3" 1334.005 892.848249738109 1048.44333618096 733.4554153
"36" 2015-01-28 "220" "Dash" "Low" "4" 1250.378 890.408421050921 1053.2331781457 737.761357
"37" 2015-02-11 "202" "Omaka" "High" "1" 1872.972 1376.10013779612 1554.548794821 1009.11452475
"38" 2015-02-11 "213" "Omaka" "High" "3" 2005.121 1471.69802016614 1710.11375692698 1046.998214
"39" 2015-02-11 "215" "Dash" "High" "3" 2408.834 1363.03944059029 1619.03784496278 1028.12006125
"40" 2015-02-11 "222" "Omaka" "High" "4" 2465.214 1548.94940032747 1738.19464034372 1030.2177902
