#Total radiation
Date 	Radiation
14/10/2014	9.84
15/10/2014	13.43
16/10/2014	13.9
17/10/2014	24.44
18/10/2014	12.28
19/10/2014	16.07
20/10/2014	11.89
21/10/2014	25
22/10/2014	24.24
23/10/2014	23.35
24/10/2014	23.98
25/10/2014	25.66
26/10/2014	19.86
27/10/2014	11.52
28/10/2014	17.67
29/10/2014	14.6
30/10/2014	24.85
31/10/2014	20.64
1/11/2014	26.99
2/11/2014	19.96
3/11/2014	28.73
4/11/2014	16.66
5/11/2014	13.24
6/11/2014	20.21
7/11/2014	24.35
8/11/2014	28.08
9/11/2014	24.91
10/11/2014	17.27
11/11/2014	27.74
12/11/2014	19.76
13/11/2014	21.31
14/11/2014	26.02
15/11/2014	27.66
16/11/2014	28.79
17/11/2014	12.7
18/11/2014	30.47
19/11/2014	25.87
20/11/2014	23.12
21/11/2014	25.36
22/11/2014	22.93
23/11/2014	30.05
24/11/2014	31.76
25/11/2014	10.01
26/11/2014	32.66
27/11/2014	32.64
28/11/2014	9.34
29/11/2014	31.77
30/11/2014	22.07
1/12/2014	25.46
2/12/2014	31.51
3/12/2014	25.22
4/12/2014	14.25
5/12/2014	16.12
6/12/2014	23.36
7/12/2014	16.8
8/12/2014	20.88
9/12/2014	16.78
10/12/2014	8.2
11/12/2014	9.52
12/12/2014	21.86
13/12/2014	18.81
14/12/2014	33.73
15/12/2014	33.62
16/12/2014	34.28
17/12/2014	22.75
18/12/2014	15.12
19/12/2014	30.04
20/12/2014	11.07
21/12/2014	23.1
22/12/2014	31.3
23/12/2014	30.05
24/12/2014	31.59
25/12/2014	22.81
26/12/2014	32.53
27/12/2014	25.29
28/12/2014	14.05
29/12/2014	32.36
30/12/2014	28
31/12/2014	19.44
1/01/2015	32.12
2/01/2015	30.73
3/01/2015	28.32
4/01/2015	29.86
5/01/2015	30.73
6/01/2015	11.71
7/01/2015	25.73
8/01/2015	14.87
9/01/2015	33.43
10/01/2015	30.6
11/01/2015	10.21
12/01/2015	7.44
13/01/2015	18.13
14/01/2015	9.66
15/01/2015	20.62
16/01/2015	18.67
17/01/2015	32.33
18/01/2015	31.5
19/01/2015	30.65
20/01/2015	25.1
21/01/2015	13.56
22/01/2015	32.01
23/01/2015	31.95
24/01/2015	31.46
25/01/2015	28.13
26/01/2015	30.06
27/01/2015	10.27
28/01/2015	16.32
29/01/2015	24.74
30/01/2015	10.11
31/01/2015	19.11
1/02/2015	24.89
2/02/2015	22.04
3/02/2015	16.87
4/02/2015	29.08
5/02/2015	20
6/02/2015	24.19
7/02/2015	26.28
8/02/2015	28.06
9/02/2015	7.44
10/02/2015	27.69
11/02/2015	28.13
